iter	Passed	Remaining
0	3	931
1	6	990
2	12	1228
3	16	1201
4	20	1224
5	27	1352
6	31	1337
7	34	1276
8	41	1349
9	44	1304
10	48	1268
11	52	1254
12	55	1230
13	59	1224
14	64	1222
15	69	1238
16	72	1206
17	75	1178
18	78	1161
19	81	1142
20	86	1155
21	90	1141
22	96	1166
23	100	1154
24	104	1151
25	107	1138
26	111	1128
27	115	1118
28	118	1103
29	125	1125
30	130	1132
31	135	1130
32	141	1144
33	146	1144
34	152	1151
35	155	1140
36	159	1132
37	163	1129
38	169	1134
39	173	1125
40	178	1128
41	183	1124
42	188	1124
43	193	1126
44	197	1120
45	201	1113
46	205	1107
47	209	1100
48	213	1094
49	217	1087
50	224	1094
51	228	1089
52	231	1079
53	235	1071
54	238	1064
55	242	1057
56	245	1046
57	248	1038
58	254	1039
59	259	1036
60	264	1035
61	268	1031
62	272	1023
63	274	1013
64	277	1004
65	281	997
66	284	989
67	288	982
68	291	976
69	295	969
70	298	964
71	303	960
72	308	958
73	312	953
74	316	949
75	322	951
76	327	947
77	331	944
78	335	937
79	338	930
80	343	929
81	348	925
82	352	921
83	355	915
84	361	913
85	365	909
86	368	902
87	372	896
88	376	891
89	379	884
90	383	879
91	388	878
92	392	874
93	396	869
94	399	862
95	404	860
96	407	853
97	411	848
98	415	843
99	420	841
100	424	836
101	428	831
102	432	826
103	437	824
104	441	819
105	445	816
106	449	810
107	452	803
108	456	799
109	459	793
110	463	788
111	466	783
112	471	779
113	474	774
114	477	768
115	481	764
116	484	758
117	489	754
118	492	748
119	495	742
120	498	737
121	502	732
122	504	726
123	506	719
124	511	716
125	513	709
126	518	705
127	520	699
128	525	696
129	528	690
130	530	684
131	533	678
132	535	672
133	540	668
134	542	663
135	545	657
136	547	651
137	550	645
138	552	640
139	555	634
140	558	629
141	561	624
142	563	618
143	566	613
144	570	609
145	573	604
146	575	598
147	578	593
148	580	588
149	583	583
150	585	578
151	588	573
152	590	567
153	593	562
154	595	557
155	598	552
156	600	546
157	603	542
158	606	537
159	609	533
160	611	528
161	614	523
162	616	518
163	620	514
164	623	510
165	625	505
166	628	500
167	631	495
168	633	491
169	636	486
170	638	481
171	641	477
172	645	473
173	647	468
174	650	464
175	653	460
176	655	455
177	657	450
178	659	446
179	662	441
180	664	437
181	667	432
182	670	428
183	672	423
184	674	419
185	677	415
186	680	411
187	684	407
188	694	407
189	697	404
190	701	400
191	704	396
192	708	392
193	711	389
194	716	385
195	720	382
196	723	378
197	726	374
198	731	371
199	734	367
200	737	363
201	739	358
202	742	354
203	745	350
204	748	346
205	751	342
206	753	338
207	755	334
208	757	329
209	760	325
210	763	321
211	765	317
212	768	313
213	770	309
214	773	305
215	776	301
216	779	298
217	783	294
218	786	290
219	790	287
220	793	283
221	800	281
222	803	277
223	806	273
224	809	269
225	814	266
226	816	262
227	820	258
228	823	255
229	829	252
230	832	248
231	834	244
232	838	241
233	843	237
234	846	234
235	848	230
236	851	226
237	853	222
238	856	218
239	858	214
240	861	210
241	863	207
242	866	203
243	869	199
244	872	195
245	875	192
246	879	188
247	882	185
248	885	181
249	887	177
250	890	173
251	893	170
252	896	166
253	899	162
254	901	159
255	904	155
256	907	151
257	910	148
258	912	144
259	916	140
260	918	137
261	921	133
262	923	129
263	925	126
264	928	122
265	931	119
266	934	115
267	936	111
268	939	108
269	942	104
270	945	101
271	948	97
272	951	94
273	953	90
274	956	86
275	958	83
276	960	79
277	962	76
278	964	72
279	966	69
280	968	65
281	970	61
282	972	58
283	975	54
284	977	51
285	979	47
286	981	44
287	984	41
288	985	37
289	988	34
290	990	30
291	992	27
292	994	23
293	996	20
294	1000	16
295	1002	13
296	1005	10
297	1007	6
298	1009	3
299	1011	0
